PIDN,Ca,P,pH,SOC,Sand
09gt9UK5,-0.46628259509172976,-0.05155325055718496,-1.3152865842546522,-0.5872349879067151,1.7457835564820634
0BVvxJ6a,0.33791508916790436,-0.1268008222316661,0.7291075844234296,0.2510959935413375,-1.716330224657515
0KbdgApg,-0.14324650895644053,-0.4327248985348655,0.0972070183224627,0.18592649628378055,-0.7600186334664052
0MnuuduB,-0.3979622944051928,-0.40842123052996104,-0.1880959450670776,0.40856067636165605,-0.9168895317954089
0PcIsF9z,-0.48777735670494193,-0.18706153598147868,-1.6273111687094275,0.1391134555457647,-0.11372507225958728
0ShTFLYJ,-0.3616352404177863,-0.4077667462218182,-0.9015886119461971,-0.829107605533256,0.5339741399232416
0XZh9jka,-0.6921468479258013,-0.3905757819586819,-1.0160877436603801,0.6374073786043191,-0.3091918090350596
0Y7Wegri,-0.4127057221393673,0.020664268136648012,0.0591513409401454,-0.13760995615605864,-0.016747766243515372
0dTqplIM,0.25401890296786833,-0.15590625942265834,0.5978138365082781,0.23295327418479062,-1.1076678714333248
0lNiZicC,-0.43571349337973997,-0.12175178971781353,-1.8074580691766347,-0.743909622559233,0.334394460570973
0rGeJ0QN,-0.4972330077161362,-0.028655113067793003,-0.8574728535172813,0.15640220323045284,-0.3885513484396661
0sXI9ytQ,-0.47908330683451394,-0.3623660772712123,-0.19121773622420513,-0.6060699190678243,1.7822134467753692
0ukt4aP6,0.5863499950920184,-0.03915688963322683,1.503858334826175,-0.7734666429936006,0.32628482806681447
1AGspb8f,-0.3585039519829709,-0.45035702126849575,-1.2040825578901764,-0.1347088280275166,-1.3809323000242166
1Csy0gvE,-0.4495107578931541,-0.18740668948910244,-0.004892452558367566,-0.6129086878648486,0.7384331173677587
1Ic2hly1,-0.3878243113348847,0.17359751065735107,-0.5163041590212902,-0.22627763145313295,0.5886326381425242
1PPbaTwt,-0.3883230797209083,0.12044620264416661,-0.541064552746791,-0.4888431277079981,1.3308686327660375
1SO5VJNy,-0.334116153476248,-0.08504559994369121,0.09746411669128285,-0.36888528727407177,0.531536447654883
1arHxK3Y,0.8178384448420499,0.3433282541061322,1.7972904770221998,0.2999878982479167,-0.1325061354465511
1fCW4Bba,-0.38323284269329205,0.2972967189268507,-0.6794273950133789,-0.6038812231066295,0.9140838799435294
1qDZNvIm,-0.47819723249715507,-0.32800593390154464,-0.05412781506358222,-0.7241198305458347,1.1940233235212183
28LYJC2V,-0.3661081212393813,-0.2177473732993116,-1.0003918209533982,0.6362342433773556,-0.9061812353957244
2CzACvQq,0.6030691812712345,0.4441852461520517,1.846546214516577,-0.3739619207629694,-0.4020623352194157
2FT3crfv,-0.1892191300348034,-0.29220813276904156,0.23071579492328276,0.14190331633259845,-0.7698862485014679
2Fy2uHVg,-0.49516276803744885,-0.14827625085060792,-0.6434464892743268,-0.4003033685533701,-0.6288136933275332
2MkMEApm,-0.35973467995238506,0.008902718047216318,-0.336879634434597,-0.6372486134972242,1.1806230673873692
2NDGWEOe,0.8676389171087746,0.36715380631060324,1.627668618528089,-0.7738217057061156,-0.29536088590829834
2NyyCiqn,-0.3184324406610588,-0.11253346965647726,0.02147555621944086,-0.4271043887223023,0.5094614651746205
2QRzIb84,0.20287903673495267,0.49639287171223767,1.8366793714246636,-0.5811855328587008,0.5894637297150602
2QcbdrUZ,-0.663871247210341,-0.5270441888035515,-0.14914292470372637,-0.31719399743527177,0.5745858851530947
2YgAimWK,-0.3100909003277823,0.06671227951094405,-0.14181289236741357,-0.5999823284258419,1.0476198678695248
2cx85d9H,0.029662645416533184,-0.5112580895932064,-0.1828318635910069,0.3186270438051615,-1.0807588438420517
2homMXMV,-0.4268239946049337,-0.018402153314377223,-1.5159244262620337,0.15472315601588704,0.5980055631521672
2ldLrUtq,-0.38027136542125417,-0.31776619914151016,-0.17600076900431993,-0.5151778939364995,0.05592012889296072
2nsACW6G,-0.33724241129032206,-0.6124379025898401,-1.704842472229318,1.3502566287412883,-1.1021433862814156
2yMbVnWc,-0.38056395024152634,0.33670414097080137,-2.303548619679548,2.2611784383813465,0.2898695172579373
36r8sgGQ,-0.3923927305076407,-0.2758048436237681,-0.003285808551952485,-0.5945613457491454,0.6446068089881685
3NXAXCl3,-0.686456240780831,-0.4901078261857714,-1.5980064810796808,0.42658136457309226,-0.8499366575825498
3QG0z6fl,-0.40227929286713815,-0.04741819922426149,-1.5094513813530899,-0.5669477796457905,1.3397766647371263
3WS8R9qm,-0.760393660491832,-0.037088179764645623,-1.769313208107194,2.383037241085429,-0.37784725317807855
3fRLm8f5,-0.3400363285253891,-0.06240619688130611,-0.2728949122297468,0.14735535820424772,0.21321018704712102
3mZhp1nQ,-0.5431299897663169,-0.5648707780076387,-0.4020963046412067,-0.5935509220210697,0.8773805941313633
3pikJXRL,-0.631548338099424,-0.4545050324316202,-1.5896735401356796,0.4488116919380154,-0.6652837833145391
3pxOEGHL,-0.4271651031021295,-0.25733182122828513,-0.4974963711727174,-0.6412415021989837,0.7756835071344135
3ttdV3f5,-0.6253692800964248,-0.11681638416509887,-0.39452861017982066,0.0402127430203727,-0.8772460634671582
3v4X6Mfe,1.0403299582722636,-0.21025165124071865,1.583789708537081,-0.6788546001337927,0.23669918235058773
3wORuPiv,-0.6186735033078778,-0.26939400025937577,-0.6366020770019691,-0.1076842468267678,-0.7968456152580821
43EfrxZj,0.10845948507001113,-0.05626600923121661,-0.47187114510394856,0.1255422567625537,-0.28564804318707004
457Vwm21,-0.04755604288304793,-0.09044613748871999,0.12758942807611895,0.5568923265151788,-0.7783177642219421
46KNnOdx,-0.4386813398349889,-0.15889308733428553,-0.8561469754543101,0.07191124648003822,-0.3282752703032834
47TwNsVC,-0.4259276166121029,-0.5597137642737602,-1.7885606699235428,1.5202717178878338,-0.9025058404887041
49856RpO,-0.4084053306441322,-0.4021118665580383,-0.8218822251522102,-0.5821293610936955,-0.950612823817341
4Ane1o2N,-0.3208324872111237,-0.27897183510437973,-0.29598349351660325,-0.41573611764518503,0.04872794473690689
4AyVUgSc,-0.43180091049537195,-0.15269017016660147,-0.7150808111614584,-0.7770909731937827,0.5617507102723032
4B1951On,-0.15354243902395437,-0.027589541690098862,-0.15456102983741182,-0.10373138046664465,0.9403665862609323
4OL39Teo,0.00363271333123949,0.09655029954840355,-0.2856840899628583,0.20020237929808715,-0.0890463428961148
4eQ90eLY,-0.013840540424939984,0.1061443253690646,-0.27190352412095997,0.4822042867278178,0.06681595008727115
4o5jwMj8,-0.32204876317148345,-0.4789401439204761,-0.6214353494538205,-0.7000714916324178,0.2318308712300272
4vPgpl2c,-0.38983658100817165,-0.29556212982449726,-0.21860167988735846,-0.794623862946839,0.5561389255350768
51r9aA0d,-0.39815426888428673,-0.3655405457687033,-0.3623878713715545,-0.8069235299802422,0.31036744996255194
58SmeRoP,-0.2345070596074268,-0.35148877914095866,-0.11016222896820871,0.03844561246993905,-0.47816034319966505
5HJp1AXn,-0.4338578822989123,-0.032415534024289094,-0.8517503342145734,0.6496927823088008,-0.2777128015211652
5MBZW7fx,-0.16207177404878648,-0.12260626940339936,0.8996767908908918,-0.5991931486463109,0.20039957112451745
5Nq3gHaP,0.19390228234085471,0.358601622647007,-0.08788872001538728,0.7208172117331451,0.13751051893016708
5RmwFFK3,0.5442540068116384,-0.03631915067514857,-0.15248739243567577,0.31257795011667255,-1.4883775590506794
5Tu5Jbov,-0.40152833915628916,-0.16307906888257495,-0.43363673551745485,-0.19275314277577493,-0.6190972311181504
5YEolkev,-0.27533558736279273,-0.3165638450775754,-0.29997936071687725,-0.4209776690089093,-0.26842130322275537
5a8sf6QV,-0.16826920954183633,-0.37478058843796536,0.6643829308422777,0.030832911484747427,-0.910067135856071
5eSvmqYm,-0.45244986561276646,-0.2918721799071813,0.05856181687430073,-0.3917349884043979,-0.5878270131167547
5hkN8fiv,-0.29371257293125863,-0.18550225703463585,-1.2163800157541278,1.1256386883857594,-0.5051626910775049
5oK8Gti5,-0.4860604891536471,-0.007226404377683515,-0.6791322333670156,-0.5491963161997155,1.7380149754277845
5paniGaU,-0.5198386894934859,-0.4087896566946023,-0.7877875950255362,-0.8420028539010964,1.5127640520348216
5vsr7ZUP,0.43684962370123204,-0.20714283000258948,1.087900748389968,-0.23607885712893406,-1.2151989138865424
60B4xMWI,-0.36427091985199267,0.10881470046363173,0.6426433622545868,-0.8413915124150044,0.9142639510958865
64jOUtKy,0.2318529706299839,0.002361506112470657,-0.5013384825804383,2.3639271611252006,-1.3071083118038196
6AJo4xNG,-0.4329904073492119,0.024977142806824837,-0.6538995901971862,-0.02026864705324627,0.40743304444638895
6CAvhEte,-0.29445434753954514,-0.07950598257982566,-0.8429174839152598,-0.27914327948868234,1.223819429558926
6CuGYjT5,3.305359272088094,-0.7291240855158998,1.950572591435714,0.5654720230710772,-0.9185378046882029
6DGH8ujZ,-0.3200685531555112,-0.2212502232598803,-1.2097997288972397,0.38439905331385305,-0.35594523883959894
6PzsGdVm,-0.3130989314012598,-0.1134676844542577,-0.5893873956370204,0.5125004276584768,-0.12359250665317134
6UcSJMbq,-0.5001459518079403,0.2655020326262507,0.9700252996344556,-1.1636707574146676,0.6708744969510398
6WJbkH8U,1.3349057145160939,-0.4194363791250675,1.724830586304945,-0.1695499094797306,-1.380818214914445
